metrica,fator,q,efeito,ss,influencia_pct_total,influencia_pct_entre_medias
L1-dcache-loads,tecnica,-1292050.5,-2584101.0,66775779782010.0,0.0014829266614613979,0.001482938234340384
L1-dcache-loads,alocacao,335517159.70000005,671034319.4000001,4.5028705781262136e+18,99.99773653279628,99.99851692317826
L1-dcache-loads,interacao,12490.5,24981.0,6240503610.0,1.385863139962653e-07,1.3858739553501073e-07
L1-dcache-load-misses,tecnica,-65322429.175,-130644858.35,1.7068079013291565e+17,99.9120258764215,99.91610726653619
L1-dcache-load-misses,alocacao,1365454.474999994,2730908.949999988,74578636931900.38,0.043656364006550825,0.043658147361967124
L1-dcache-load-misses,interacao,-1310823.8749999963,-2621647.7499999925,68730369250800.234,0.04023294259262784,0.04023458610183249
branch-instructions,tecnica,-33423394.35,-66846788.7,4.468493159502448e+16,99.99999999846105,99.99999999922892
branch-instructions,alocacao,14.0,28.0,7840.0,1.754506434279135e-11,1.7545064342926073e-11
branch-instructions,interacao,91.75,183.5,336722.5,7.535482051231582e-10,7.535482051289444e-10
branch-misses,tecnica,-120.84999999999127,-241.69999999998254,584188.8999999156,8.952363403715168,31.018277397336824
branch-misses,alocacao,16.650000000023283,33.300000000046566,11088.900000031012,0.16993110027894928,0.5887797187388186
branch-misses,interacao,179.4499999999971,358.8999999999942,1288092.0999999582,19.739280524939637,68.39294288392435
