"experimento","metrica","n","media","desvio_padrao","margem_ic95","ic95_inferior","ic95_superior"
1,"tempo_segundos",10,1.2463855923,0.0869035621112321,0.0621670633097204,1.18421852899028,1.30855265560972
1,"L1-dcache-loads",10,2430294284.4,1949680.96610287,1394717.74354125,2428899566.65646,2431689002.14354
1,"L1-dcache-load-misses",10,136723346.4,103668.81559852,74160.2031722008,136649186.196828,136797506.603172
1,"branch-instructions",10,135272093.5,91.8250147472536,65.687658440306,135272027.812342,135272159.187658
1,"branch-misses",10,265919.8,431.295413067811,308.530152251529,265611.269847748,266228.330152252
2,"tempo_segundos",10,1.3384866587,0.0351939105023412,0.0251762069259633,1.31331045177404,1.36366286562596
2,"L1-dcache-loads",10,3101303622.8,244927.825145286,175210.811182056,3101128411.98882,3101478833.61118
2,"L1-dcache-load-misses",10,142075903.1,873835.903851448,625104.548505251,141450798.551495,142701007.648505
2,"branch-instructions",10,135271938,38.2332025571724,27.3503854866486,135271910.649615,135271965.350385
2,"branch-misses",10,265594.2,317.992941920275,227.478447052597,265366.721552947,265821.678447053
3,"tempo_segundos",10,0.795357893,0.00935114501909308,0.00668940616814142,0.788668486831859,0.802047299168141
3,"L1-dcache-loads",10,2427685202.4,176290.495282455,126110.623257293,2427559091.77674,2427811313.02326
3,"L1-dcache-load-misses",10,8700135.8,17237.7996649482,12331.1790340595,8687804.62096594,8712466.97903406
3,"branch-instructions",10,135271631.6,61.377158255784,43.9065740271295,135271587.693426,135271675.506574
3,"branch-misses",10,264771,129.372846197853,92.5477589727148,264678.452241027,264863.547758973
4,"tempo_segundos",10,1.3044707833,0.0134508153488623,0.00962213365074487,1.29484864964926,1.31409291695074
4,"L1-dcache-loads",10,3098744502.8,110740.360835404,79218.8818932898,3098665283.91811,3098823721.68189
4,"L1-dcache-load-misses",10,8809397,26739.2412840089,19128.1009129316,8790268.89908707,8828525.10091293
4,"branch-instructions",10,135271902,19.5561868584968,13.9896533236785,135271888.010347,135271915.989653
4,"branch-misses",10,265398.7,160.653561014584,114.924634340562,265283.775365659,265513.624634341
5,"tempo_segundos",10,0.9998250574,0.0115056599500153,0.00823065330299355,0.991594404097006,1.00805571070299
5,"L1-dcache-loads",10,2299254470.5,2255100.35227113,1613201.61065403,2297641268.88935,2300867672.11065
5,"L1-dcache-load-misses",10,137129798.7,135178.999054381,96701.2305157537,137033097.469484,137226499.930516
5,"branch-instructions",10,68425121.3,20.1331677697387,14.4024006031486,68425106.8975994,68425135.7024006
5,"branch-misses",10,265319.2,151.242116415295,108.192092451301,265211.007907549,265427.392092451
6,"tempo_segundos",10,1.4115092477,0.127738902833457,0.0913789063030288,1.32013034139697,1.50288815400303
6,"L1-dcache-loads",10,2902799780.3,495391.642879102,354381.832893719,2902445398.46711,2903154162.13289
6,"L1-dcache-load-misses",10,144246378.6,559768.264159415,400434.093509649,143845944.50649,144646812.69351
6,"branch-instructions",10,68425332.8,166.809805200747,119.328546133976,68425213.4714539,68425452.1285461
6,"branch-misses",10,265711.4,453.636222343655,324.511804451978,265386.888195548,266035.911804452
7,"tempo_segundos",10,0.9092844553,0.0793150141231568,0.056738543100161,0.852545912199839,0.966022998400161
7,"L1-dcache-loads",10,2588807533.1,313889.770165844,224543.214801682,2588582989.8852,2589032076.3148
7,"L1-dcache-load-misses",10,138737969.8,187664.707899665,134247.244802993,138603722.555197,138872217.044803
7,"branch-instructions",10,147490652.8,532.795311958021,381.138805877965,147490271.661194,147491033.938806
7,"branch-misses",10,143273.8,2182.17291299801,1561.03246333525,141712.767536665,144834.832463335
8,"tempo_segundos",10,1.2635115092,0.00749679217029214,0.00536288205164529,1.25814862714835,1.26887439125165
8,"L1-dcache-loads",10,3128552556.1,144535.052499347,103394.14796024,3128449161.95204,3128655950.24796
8,"L1-dcache-load-misses",10,2198614.3,128796.958922907,92135.7940335212,2106478.50596648,2290750.09403352
8,"branch-instructions",10,147490597.9,24.287399568043,17.3741590090685,147490580.525841,147490615.274159
8,"branch-misses",10,141953.7,648.421339356852,463.852683087672,141489.847316912,142417.552683088
