ordem,rodada,experimento,tecnica,alocacao,tamanho,bloco,tempo_segundos,checksum,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-misses,cobertura_min_pct
1,1,7,tiling,estatica,512,32,1.133073494,33566647.392028809,2588692015,138709943,147490712,144024,100.0
2,1,6,unroll,dinamica,512,32,1.773526359,33566647.392028809,2901961386,145542403,68425740,266240,100.0
3,1,1,simples,estatica,512,32,1.492098687,33566647.392028809,2431464578,136767301,135272353,266118,100.0
4,1,8,tiling,dinamica,512,32,1.260602724,33566647.392028809,3128686804,1950641,147490579,140584,100.0
5,1,3,interchange,estatica,512,32,0.792814447,33566647.392028809,2427933282,8715187,135271803,264937,100.0
6,1,5,unroll,estatica,512,32,0.984615132,33566647.392028809,2297730818,136858785,68425167,265230,100.0
7,1,2,simples,dinamica,512,32,1.306054113,33566647.392028809,3101496760,141855931,135271898,265321,100.0
8,1,4,interchange,dinamica,512,32,1.292653873,33566647.392028809,3098610322,8779573,135271888,265372,100.0
9,2,3,interchange,estatica,512,32,0.786913975,33566647.392028809,2427806984,8697672,135271600,264606,100.0
10,2,7,tiling,estatica,512,32,0.881035809,33566647.392028809,2588829392,138594391,147492149,148902,100.0
11,2,5,unroll,estatica,512,32,1.003535278,33566647.392028809,2297607010,137159232,68425125,265194,100.0
12,2,4,interchange,dinamica,512,32,1.289619758,33566647.392028809,3098807644,8785756,135271883,265472,100.0
13,2,1,simples,estatica,512,32,1.199245189,33566647.392028809,2425433497,136489422,135272040,265322,100.0
14,2,2,simples,dinamica,512,32,1.314426828,33566647.392028809,3101597721,141370013,135271916,265298,100.0
15,2,8,tiling,dinamica,512,32,1.260761054,33566647.392028809,3128549660,2161826,147490588,141365,100.0
16,2,6,unroll,dinamica,512,32,1.365845458,33566647.392028809,2901909953,144687148,68425246,265369,100.0
17,3,8,tiling,dinamica,512,32,1.260698477,33566647.392028809,3128400103,2245158,147490582,142402,100.0
18,3,7,tiling,estatica,512,32,0.876240436,33566647.392028809,2588576454,138787420,147490549,143231,100.0
19,3,5,unroll,estatica,512,32,0.993018645,33566647.392028809,2297386268,137172018,68425113,265240,100.0
20,3,2,simples,dinamica,512,32,1.356422470,33566647.392028809,3100969519,141887020,135271955,265671,100.0
21,3,4,interchange,dinamica,512,32,1.328998656,33566647.392028809,3098725759,8833138,135271949,265342,100.0
