metrica,fator,q,efeito,ss,influencia_pct_total,influencia_pct_entre_medias
L1-dcache-loads,tecnica,-1539870.9250000715,-3079741.850000143,94848098626423.03,0.002109782036165167,0.0021098356725645887
L1-dcache-loads,alocacao,335239432.9250002,670478865.8500004,4.495419095515028e+18,99.99519853431507,99.99774068431773
L1-dcache-loads,interacao,409875.1249998808,819750.2499997616,6719904723746.717,0.0001494762096048244,0.00014948000969675098
L1-dcache-load-misses,tecnica,-65218883.25,-130437766.5,1.7014010929508522e+17,99.92054746756577,99.92208917082071
L1-dcache-load-misses,alocacao,1308694.25,2617388.5,68507225599322.5,0.04023319084329564,0.04023381161292562
L1-dcache-load-misses,interacao,-1266429.0500000045,-2532858.100000009,64153701547356.555,0.037676436245641105,0.037677017566359085
branch-instructions,tecnica,-33423373.750000004,-66846747.50000001,4.468487651328757e+16,99.99999999938431,99.99999999940282
branch-instructions,alocacao,-77.89999999850988,-155.79999999701977,242736.39999071357,5.432182405540241e-10,5.432182405541246e-10
branch-instructions,interacao,24.550000000745058,49.100000001490116,24108.100001463295,5.395136315112349e-11,5.3951363151133475e-11
branch-misses,tecnica,-16.90000000000873,-33.80000000001746,11424.400000011803,1.6882839941845798,42.26047134462569
branch-misses,alocacao,19.75,39.5,15602.5,2.305718551454579,57.71585415022594
branch-misses,interacao,0.40000000000873115,0.8000000000174623,6.400000000279396,0.0009457842480341942,0.023674505148378246
