ordem,rodada,experimento,tecnica,alocacao,tamanho,bloco,tempo_segundos,checksum,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-misses,cobertura_min_pct
1,1,7,tiling,estatica,512,32,0.359006108,33566647.392028809,2588514729,138363494,147489867,138255,100.0
2,1,6,unroll,dinamica,512,32,0.567075462,33566647.392028809,2901683325,144262149,68424376,264099,100.0
3,1,1,simples,estatica,512,32,0.472064659,33566647.392028809,2425778299,136427486,135271249,264102,100.0
4,1,8,tiling,dinamica,512,32,0.518644904,33566647.392028809,3128629234,2107800,147489776,137928,100.0
5,1,3,interchange,estatica,512,32,0.334403802,33566647.392028809,2427420608,8682301,135271113,264191,100.0
6,1,5,unroll,estatica,512,32,0.457560809,33566647.392028809,2302284972,136993927,68424515,264375,100.0
7,1,2,simples,dinamica,512,32,0.555042186,33566647.392028809,3101008287,142969817,135271073,264350,100.0
8,1,4,interchange,dinamica,512,32,0.534797712,33566647.392028809,3098546194,8755901,135271058,264146,100.0
9,2,3,interchange,estatica,512,32,0.328473279,33566647.392028809,2427378805,8667070,135271105,264097,100.0
10,2,7,tiling,estatica,512,32,0.423597016,33566647.392028809,2600288134,141742456,147489938,139023,100.0
11,2,5,unroll,estatica,512,32,0.440778310,33566647.392028809,2298677722,137256501,68424497,264382,100.0
12,2,4,interchange,dinamica,512,32,0.535081549,33566647.392028809,3098491550,8767314,135271055,264234,100.0
13,2,1,simples,estatica,512,32,0.509151696,33566647.392028809,2429769505,136696657,135271286,264529,100.0
14,2,2,simples,dinamica,512,32,0.549711951,33566647.392028809,3101309318,142207532,135271075,264325,100.0
15,2,8,tiling,dinamica,512,32,0.527186872,33566647.392028809,3128338752,2603576,147489785,138522,100.0
16,2,6,unroll,dinamica,512,32,0.572941452,33566647.392028809,2901929005,144716934,68424372,264389,100.0
17,3,8,tiling,dinamica,512,32,0.533722013,33566647.392028809,3128315890,2460459,147489791,138349,100.0
18,3,7,tiling,estatica,512,32,0.355663212,33566647.392028809,2588722796,138621626,147489870,138049,100.0
19,3,5,unroll,estatica,512,32,0.404170876,33566647.392028809,2298603389,137132620,68424459,264163,100.0
20,3,2,simples,dinamica,512,32,0.537147811,33566647.392028809,3100828122,141547332,135271054,264276,100.0
21,3,4,interchange,dinamica,512,32,0.523578859,33566647.392028809,3098889221,8743773,135271044,264106,100.0
22,3,6,unroll,dinamica,512,32,0.551824936,33566647.392028809,2902026444,144210717,68424357,264266,100.0
23,3,3,interchange,estatica,512,32,0.320560792,33566647.392028809,2427489992,8664249,135271096,263878,100.0
24,3,1,simples,estatica,512,32,0.482782190,33566647.392028809,2432608503,136459418,135271256,264217,100.0
25,4,3,interchange,estatica,512,32,0.320517561,33566647.392028809,2427435386,8680838,135271093,263885,100.0
26,4,2,simples,dinamica,512,32,0.526087288,33566647.392028809,3100832102,141415578,135271050,264205,100.0
27,4,8,tiling,dinamica,512,32,0.510650006,33566647.392028809,3128123757,1903458,147489768,137955,100.0
28,4,5,unroll,estatica,512,32,0.393665173,33566647.392028809,2297400460,137149989,68424449,264214,100.0
29,4,4,interchange,dinamica,512,32,0.524813937,33566647.392028809,3098807148,8777060,135271057,264182,100.0
30,4,1,simples,estatica,512,32,0.488815380,33566647.392028809,2432414092,136725532,135271265,264237,100.0
31,4,7,tiling,estatica,512,32,0.362909550,33566647.392028809,2588396744,138177689,147489870,138132,100.0
32,4,6,unroll,dinamica,512,32,0.549668510,33566647.392028809,2903052639,143289671,68424350,264218,100.0
