metrica,fator,q,efeito,ss,influencia_pct_total,influencia_pct_entre_medias
L1-dcache-loads,tecnica,-1623943.3250000477,-3247886.6500000954,105487676912488.42,0.0023485246999637227,0.002348534898731455
L1-dcache-loads,alocacao,335094182.9749999,670188365.9499998,4.4915244585473085e+18,99.9970464809879,99.99748073090275
L1-dcache-loads,interacao,437857.3250000477,875714.6500000954,7668761482247.8955,0.00017073345708552045,0.0001707341985173108
L1-dcache-load-misses,tecnica,-65162354.85,-130324709.7,1.6984529958389274e+17,99.93393440104145,99.93518799257174
L1-dcache-load-misses,alocacao,1197994.0500000045,2395988.100000009,57407589753416.53,0.033777598335632084,0.03377802204867251
L1-dcache-load-misses,interacao,-1148302.5500000045,-2296605.100000009,52743949853460.51,0.031033596087856705,0.03103398537957671
branch-instructions,tecnica,-33423374.175,-66846748.35,4.468487764968228e+16,99.99999999725239,99.9999999994644
branch-instructions,alocacao,-71.47499999403954,-142.94999998807907,204347.02496591807,4.5730689152229636e-10,4.573068915324121e-10
branch-instructions,interacao,29.574999999254942,59.149999998509884,34987.224998237194,7.829768556505076e-11,7.829768556678273e-11
branch-misses,tecnica,-35.375,-70.75,50055.625,1.5273699686548265,25.865615967179103
branch-misses,alocacao,12.47500000000582,24.95000000001164,6225.025000005809,0.1899470087354695,3.2167035380387192
branch-misses,interacao,58.57500000001164,117.15000000002328,137241.22500005455,4.187703690174347,70.91768049478218
