experimento,metrica,n,media,desvio_padrao,margem_ic95,ic95_inferior,ic95_superior,minimo,maximo,cv_pct
1,tempo_segundos,10,0.5341628305,0.16156858107879885,0.11557920026545579,0.41858363023454426,0.6497420307654558,0.476258337,0.99363658,30.247065473942378
1,L1-dcache-loads,10,2431673102.8,1437855.1341026288,1028579.5999911062,2430644523.200009,2432701682.3999915,2429959435.0,2434828250.0,0.05913028081147013
1,L1-dcache-load-misses,10,136701282.2,62952.406196709875,45033.43852139958,136656248.7614786,136746315.63852137,136624548.0,136798029.0,0.04605107222374676
1,branch-instructions,10,135271296.5,162.99778457935489,116.60159085964128,135271179.89840913,135271413.10159087,135271235.0,135271760.0,0.00012049694857427118
1,branch-misses,10,264326.7,319.78362476316175,228.75942439631172,264097.9405756037,264555.45942439634,264020.0,264844.0,0.12098044759124287
2,tempo_segundos,10,0.5872247105,0.1721754718028775,0.12316691279598914,0.4640577977040109,0.7103916232959891,0.52352929,1.074923471,29.320202083505052
2,L1-dcache-loads,10,3100985754.1,286321.21114636655,204821.85572449898,3100780932.2442756,3101190575.9557242,3100730672.0,3101430600.0,0.00923323207040871
2,L1-dcache-load-misses,10,141393875.4,481906.6585106843,344735.25620738266,141049140.14379263,141738610.65620738,140703581.0,142406375.0,0.3408256949937764
2,branch-instructions,10,135271094.4,173.1262865977062,123.84708472578573,135270970.55291528,135271218.24708474,135271029.0,135271585.0,0.00012798468687313748
2,branch-misses,10,264234.5,240.28281947183268,171.88797429952507,264062.61202570045,264406.38797429955,264044.0,264730.0,0.09093544539862611
3,tempo_segundos,10,0.38691083800000003,0.1402513780009185,0.1003297918273382,0.28658104617266184,0.48724062982733823,0.317927938,0.653601725,36.24901766151055
3,L1-dcache-loads,10,2427549501.5,105433.07675724919,75422.27957789694,2427474079.2204223,2427624923.7795777,2427427647.0,2427767682.0,0.004343189570062376
3,L1-dcache-load-misses,10,8673177.6,11347.998239533017,8117.868909793468,8665059.731090207,8681295.468909793,8659540.0,8698154.0,0.13084014605596242
3,branch-instructions,10,135271145.7,141.16424633895244,100.98281849720887,135271044.7171815,135271246.68281847,135271074.0,135271415.0,0.00010435650974082971
3,branch-misses,10,263940.4,166.6994634397817,119.24961239619864,263821.15038760385,264059.6496123962,263794.0,264252.0,0.06315799454717115
4,tempo_segundos,10,0.5821561023999998,0.1729369439053055,0.12371163712317847,0.45844446527682137,0.7058677395231783,0.522017212,1.073915793,29.706283794390327
4,L1-dcache-loads,10,3098613582.1,82191.11075407661,58795.97868878122,3098554786.121311,3098672378.0786886,3098488782.0,3098721388.0,0.00265251244068884
4,L1-dcache-load-misses,10,8772560.6,23625.173895656302,16900.43130143319,8755660.168698566,8789461.031301433,8744797.0,8815119.0,0.2693076169306406
4,branch-instructions,10,135271090.1,175.783610663161,125.74801984745783,135270964.35198015,135271215.84801984,135271026.0,135271590.0,0.00012994913438873885
