"experimento","metrica","n","media","desvio_padrao","margem_ic95","ic95_inferior","ic95_superior"
1,"tempo_segundos",10,0.5341628305,0.161568581078799,0.1155792002626,0.4185836302374,0.6497420307626
1,"L1-dcache-loads",10,2431673102.8,1437855.13410263,1028579.59996569,2430644523.20003,2432701682.39997
1,"L1-dcache-load-misses",10,136701282.2,62952.4061967099,45033.4385202869,136656248.76148,136746315.63852
1,"branch-instructions",10,135271296.5,162.997784579355,116.60159085676,135271179.898409,135271413.101591
1,"branch-misses",10,264326.7,319.783624763162,228.759424390659,264097.940575609,264555.459424391
2,"tempo_segundos",10,0.5872247105,0.172175471802878,0.123166912792946,0.464057797707054,0.710391623292946
2,"L1-dcache-loads",10,3100985754.1,286321.211146367,204821.855719438,3100780932.24428,3101190575.95572
2,"L1-dcache-load-misses",10,141393875.4,481906.658510684,344735.256198865,141049140.143801,141738610.656199
2,"branch-instructions",10,135271094.4,173.126286597706,123.847084722726,135270970.552915,135271218.247085
2,"branch-misses",10,264234.5,240.282819471833,171.887974295278,264062.612025705,264406.387974295
3,"tempo_segundos",10,0.386910838,0.140251378000918,0.100329791824859,0.286581046175141,0.487240629824859
3,"L1-dcache-loads",10,2427549501.5,105433.076757249,75422.2795760334,2427474079.22042,2427624923.77958
3,"L1-dcache-load-misses",10,8673177.6,11347.998239533,8117.86890959289,8665059.73109041,8681295.46890959
3,"branch-instructions",10,135271145.7,141.164246338952,100.982818494714,135271044.717182,135271246.682818
3,"branch-misses",10,263940.4,166.699463439782,119.249612393252,263821.150387607,264059.649612393
4,"tempo_segundos",10,0.5821561024,0.172936943905306,0.123711637120122,0.458444465279878,0.705867739520122
4,"L1-dcache-loads",10,3098613582.1,82191.1107540766,58795.9786873285,3098554786.12131,3098672378.07869
4,"L1-dcache-load-misses",10,8772560.6,23625.1738956563,16900.4313010156,8755660.16869898,8789461.03130102
4,"branch-instructions",10,135271090.1,175.783610663161,125.748019844351,135270964.35198,135271215.84802
4,"branch-misses",10,264162.5,205.545480233559,147.038378776133,264015.461621224,264309.538378776
5,"tempo_segundos",10,0.4482672816,0.130445937368231,0.0933154021521809,0.354951879447819,0.541582683752181
5,"L1-dcache-loads",10,2299932988.3,2291644.24963926,1639343.5400074,2298293644.75999,2301572331.84001
5,"L1-dcache-load-misses",10,137124433,58307.2515711192,41710.495079569,137082722.50492,137166143.49508
5,"branch-instructions",10,68424489,133.398317497302,95.4274076665627,68424393.5725923,68424584.4274077
5,"branch-misses",10,264138.8,205.019673852698,146.662239550381,263992.13776045,264285.46223955
6,"tempo_segundos",10,0.6162137082,0.187154457345284,0.133882233545141,0.482331474654859,0.750095941745141
6,"L1-dcache-loads",10,2902646246.3,584467.440198159,418102.81966075,2902228143.48034,2903064349.11966
6,"L1-dcache-load-misses",10,143972832.8,447008.842063381,319770.862199989,143653061.9378,144292603.6622
6,"branch-instructions",10,68424405.2,188.38954913217,134.765764984397,68424270.434235,68424539.965765
6,"branch-misses",10,264280.9,374.973613886512,268.239964250494,264012.66003575,264549.13996425
7,"tempo_segundos",10,0.4190759309,0.137142638295974,0.0981059334080623,0.320969997491938,0.517181864308062
7,"L1-dcache-loads",10,2588463355.4,293628.751588426,210049.355240326,2588253306.04476,2588673404.75524
7,"L1-dcache-load-misses",10,138718351.4,64513.1991562795,46149.9625427054,138672201.437457,138764501.362543
7,"branch-instructions",10,147489915.5,140.446312399673,100.46923949322,147489815.03076,147490015.96924
7,"branch-misses",10,138133.4,554.763252808499,396.85372407531,137736.546275925,138530.253724075
8,"tempo_segundos",10,0.5647005791,0.160733960755405,0.114982148850397,0.449718430249603,0.679682727950397
8,"L1-dcache-loads",10,3128284697.2,345596.894178045,247225.124932278,3128037472.07507,3128531922.32493
8,"L1-dcache-load-misses",10,1931862.9,212575.984890867,152067.698835198,1779795.2011648,2083930.5988352
8,"branch-instructions",10,147489809.1,163.318672811436,116.831140469624,147489692.26886,147489925.93114
8,"branch-misses",10,138018.3,486.84700996423,348.269370729081,137670.030629271,138366.569370729
