ordem,rodada,experimento,tecnica,alocacao,tamanho,bloco,tempo_segundos,checksum,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-misses,cobertura_min_pct
1,1,7,tiling,estatica,512,32,0.726236323,33566647.392028809,2588542441,138692356,147490226,138849,100.0
2,1,6,unroll,dinamica,512,32,1.146786386,33566647.392028809,2902078633,144346785,68424939,265283,100.0
3,1,1,simples,estatica,512,32,0.993636580,33566647.392028809,2432481634,136723208,135271760,264734,100.0
4,1,8,tiling,dinamica,512,32,1.021523542,33566647.392028809,3127580721,1892805,147490273,139011,100.0
5,1,3,interchange,estatica,512,32,0.652380889,33566647.392028809,2427442691,8667615,135271415,264252,100.0
6,1,5,unroll,estatica,512,32,0.803495851,33566647.392028809,2300143350,137175558,68424853,264545,100.0
7,1,2,simples,dinamica,512,32,1.074923471,33566647.392028809,3100852914,141542261,135271585,264730,100.0
8,1,4,interchange,dinamica,512,32,1.073915793,33566647.392028809,3098578877,8815119,135271590,264722,100.0
9,2,3,interchange,estatica,512,32,0.653601725,33566647.392028809,2427613912,8669620,135271412,264212,100.0
10,2,7,tiling,estatica,512,32,0.624229295,33566647.392028809,2588574196,138735907,147490131,138973,100.0
11,2,5,unroll,estatica,512,32,0.515436848,33566647.392028809,2298483986,137165306,68424555,264120,100.0
12,2,4,interchange,dinamica,512,32,0.545284971,33566647.392028809,3098721388,8768757,135271050,264038,100.0
13,2,1,simples,estatica,512,32,0.477295838,33566647.392028809,2430539243,136691843,135271235,264090,100.0
14,2,2,simples,dinamica,512,32,0.524494016,33566647.392028809,3100819529,141016132,135271034,264044,100.0
15,2,8,tiling,dinamica,512,32,0.511347744,33566647.392028809,3128390718,1813429,147489751,137588,100.0
16,2,6,unroll,dinamica,512,32,0.549192206,33566647.392028809,2901997114,144086778,68424335,264139,100.0
17,3,8,tiling,dinamica,512,32,0.511254646,33566647.392028809,3128331197,1809623,147489751,137642,100.0
